Designator,Mid X,Mid Y,Rotation,Layer
C14,62.455113,-56.5,180.0,top
C15,77.0,-61.5,270.0,top
C16,74.5,-69.1375,270.0,top
C17,81.0,-65.493,270.0,top
C18,84.5,-60.429,270.0,top
C19,72.5,-69.1375,90.0,top
C20,75.803,-78.463,90.0,top
CN1,59.67945,-69.872,270.0,top
D0,72.501,-96.243,0.0,top
D1,78.738,-96.243,0.0,top
D10,92.0,-91.172,270.0,top
D11,94.5,-91.172,270.0,top
D2,84.326,-96.243,0.0,top
D8,86.5,-52.5,270.0,top
D9,89.5,-91.172,270.0,top
F1,68.5,-70.5,90.0,top
JP1,90.789,-64.19,0.0,top
L1,81.0,-55.5,0.0,top
R1,72.755,-84.051,270.0,top
R13,89.265,-87.4655,270.0,top
R14,91.5,-87.5,270.0,top
R15,94.0,-87.4655,270.0,top
R16,77.327,-78.463,90.0,top
R17,74.279,-78.463,90.0,top
R18,68.5,-66.0,180.0,top
R19,67.5,-75.5,90.0,top
R2,75.549,-84.051,270.0,top
R20,68.5,-62.0,180.0,top
R21,75.0,-61.5,270.0,top
R22,72.5,-61.5,90.0,top
R23,70.5,-52.0,0.0,top
R3,78.343,-84.051,270.0,top
R4,68.5,-64.0,0.0,top
R5,81.137,-84.051,270.0,top
R6,86.725,-84.051,270.0,top
R7,83.931,-84.051,270.0,top
STM32F103C8T6,85.455,-74.791,0.0,top
SW1,55.5,-83.5,180.0,top
TLP172AM1,78.567,-90.657,180.0,top
TLP172AM2,84.439,-90.657,180.0,top
TLP172AM3,72.725,-90.657,180.0,top
U$6,77.327,-74.399,270.0,top
U2,65.74,-81.865,270.0,top
U6,70.8,-56.095,180.0,top
U7,80.629,-60.429,180.0,top
X0,63.377,-105.337,180.0,top
X1,73.029,-105.337,180.0,top
X2,82.641,-105.337,180.0,top
X3,56.74,-92.413,90.0,top
